Marca temporal,Genero,Origen,Edad,¿Eres económicamente independiente? ,Clima,Cantidad_plantas,Parte_predominante_casa,Conocimiento_sobre_plantas,Plantas_recomendadas,Mascotas_infantes,Adquisicion_plantas,Atencion_plantas,Respuesta_planta_mustia,Prefiere_florecer,Preferencia_tonos,Tiempo_para_ti,Paciencia,Sentimientos_adquisicion,Duracion_plantas,Tipo_vivienda
2024/05/04 3:20:09 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Exterior,Tengo nociones básicas,Cactus de Navidad;Pothos;Crasula/ Suculenta de Jade;Aloe vera;Hiedra inglesa;Nephthytis,"Sí, pueden clavárselas",Decoración;La planté de cero,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo bastante tiempo libre,No,Alegría,Años,Adosado
2024/05/04 3:21:04 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Nada,Costilla de Adán;Violeta africana;Geranio;Petunia;Begonia,No,Decoración;Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,No,Alegría,Meses,Apartamento
2024/05/04 3:21:14 p. m. EEST,Hombre,España,Menos de 18 años,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Exterior,Tengo nociones básicas,Helecho de Boston;Costilla de Adán;Lavanda,"Sí, intentan comérselas",La planté de cero;Me la recomendaron,Cuando me acuerdo,Le hecho agua,Si,Cálidos,Tengo bastante tiempo libre,Si,Alegría,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/04 3:21:28 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",6-10,Exterior,Tengo nociones básicas,Costilla de Adán;Peperomia;Palo de Brasil;Planta de serpiente/ Espada de San Jorge;Ficus lyrata;Orquídea phalaenopsis;Aloe vera;Haworthia,"Sí, son tóxicas",Decoración;Mejorar la calidad del aire,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:21:31 p. m. EEST,Hombre,España,26 – 30,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Exterior,Nada,Costilla de Adán;Planta de araña;Petunia,No,Decoración,La verdad que no,Le hecho agua,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Indiferencia,Las prefiero de plástico para que no se mueran,Adosado
2024/05/04 3:22:38 p. m. EEST,Hombre,LATAM,26 – 30,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",6-10,Exterior,Tengo nociones básicas,Cinta;Helecho de Boston;Begonia rex;Violeta africana;Pothos;Cactus de jade;Aloe vera;Cactus de bola;Haworthia;Echeveria;Palmera de bambú,"Sí, son tóxicas",Decoración;Mejorar la calidad del aire;Perfumar el entorno,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Angustia,Meses,Chalet
2024/05/04 3:23:26 p. m. EEST,Hombre,LATAM,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Filodendro;Tradescantia;Cactus de Navidad;Lavanda,No,La planté de cero,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Fríos,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:23:54 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Ambos por igual,Tengo nociones básicas,Cinta;Filodendro;Peperomia;Pothos;Cactus de bola;Philodendron,"Sí, pueden clavárselas",Fue un regalo;Me la recomendaron,Cuando me acuerdo,Le hecho agua,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:24:00 p. m. EEST,Hombre,LATAM,18 – 25,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",6-10,Exterior,Tengo nociones básicas,Pilea;Violeta africana;Palmera de bambú;Lavanda;Salvia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Mejorar la calidad del aire;Perfumar el entorno;Me la recomendaron,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,No,Realización,Años,Chalet
2024/05/04 3:24:55 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Exterior,Tengo nociones básicas,Ficus benjamina;Aloe vera;Palmera de bambú;Caléndula,No,"Por sus frutos/ especies aromáticas (tomillo, albahaca)",Les hago bastante caso,Le hecho agua,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,No,Alegría,Años,Adosado
2024/05/04 3:24:55 p. m. EEST,Hombre,España,18 – 25,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",6-10,Exterior,Tengo nociones básicas,Orquídea phalaenopsis;Cactus de bola;Lavanda;Petunia,"Sí, son tóxicas",Decoración;Fue un regalo;Me la recomendaron,Les hago bastante caso,Le hecho agua,Si,Fríos,Tengo algo de tiempo libre,Si,Alegría,Meses,Chalet
2024/05/04 3:25:49 p. m. EEST,Hombre,España,18 – 25,No,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",2-5,Interior,Me he informado bastante,Helecho de Boston;Costilla de Adán;Fittonia;Cactus de Navidad;Violeta africana;Planta de serpiente/ Espada de San Jorge;Orquídea phalaenopsis;Aloe vera;Echeveria;Hiedra inglesa;Palmera de bambú;Lavanda;Fucsia;Narcisos,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Perfumar el entorno;La planté de cero,Todos los días compruebo su estado,Me informo de qué le puede pasar,Si,Cálidos,Tengo bastante tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 3:28:03 p. m. EEST,Hombre,España,18 – 25,No,Semidesertico,2-5,Exterior,Tengo nociones básicas,Pilea;Palo de Brasil;Dracaena marginata,No,Fue un regalo,Cuando me acuerdo,Le hecho agua,Me es indiferente,Fríos,Tengo bastante tiempo libre,No,Realización,Meses,Apartamento
2024/05/04 3:28:49 p. m. EEST,Hombre,USA,26 – 30,Sí,Mi estado se presta para las 4 estaciones del año. ,+10,Ambos por igual,Me dedico a la botánica,Costilla de Adán;Fittonia;Cactus de Navidad;Orquídea phalaenopsis;Ficus benjamina;Philodendron;Lavanda;Astilbe;Fucsia;Caléndula,"Sí, son tóxicas","Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca);La planté de cero",Les hago bastante caso,Nunca se me ponen mustias,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 3:29:08 p. m. EEST,Mujer,España,18 – 25,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Exterior,Nada,Violeta africana;Orquídea phalaenopsis;Aloe vera;Echeveria;Petunia;Fucsia,No,Decoración,La verdad que no,Le hecho agua,Si,Cálidos,Tengo algo de tiempo libre,No,Alegría,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/04 3:29:29 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Interior,Tengo nociones básicas,Cinta;Helecho de Boston;Costilla de Adán;Aloe vera;Planta de araña;Caléndula,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración,Les hago bastante caso,Le hecho agua,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 3:30:55 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Exterior,Nada,Cactus de bola,"Sí, son tóxicas",Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 3:31:07 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",1,Interior,Nada,Palo de Brasil,No,Decoración,La verdad que no,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Fríos,Tengo algo de tiempo libre,No,Indiferencia,Años,Apartamento
2024/05/04 3:31:48 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Exterior,Nada,Begonia rex;Fittonia;Caléndula,"Sí, son tóxicas",Decoración,La verdad que no,Le hecho agua,"No, prefiero que no tengan flores",Fríos,Tengo algo de tiempo libre,No,Indiferencia,Las prefiero de plástico para que no se mueran,Chalet
2024/05/04 3:31:55 p. m. EEST,Hombre,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Nada,Cinta;Filodendro;Costilla de Adán;Pothos;Planta de serpiente/ Espada de San Jorge;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Haworthia;Echeveria,No,Decoración,Cuando me acuerdo,Le hecho agua,Si,Me es indiferente,Tengo algo de tiempo libre,No,Alegría,Meses,Apartamento
2024/05/04 3:33:13 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",6-10,Ambos por igual,Tengo nociones básicas,Helecho de Boston;Tradescantia;Pothos;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Echeveria,"Sí, son tóxicas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo bastante tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/04 3:33:23 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Interior,Tengo nociones básicas,Costilla de Adán;Begonia rex;Crasula/ Suculenta de Jade;Haworthia,"Sí, intentan comérselas",Perfumar el entorno;Fue un regalo;La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Fríos,Tengo bastante tiempo libre,Si,Realización,Años,Apartamento
2024/05/04 3:34:40 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",1,Exterior,Nada,Aloe vera;Kalanchoe;Planta de araña;Lavanda,No,Para mi mascota,Cuando me acuerdo,Me deshago de ella,Me es indiferente,Cálidos,Tengo bastante tiempo libre,No,Indiferencia,Años,Apartamento
2024/05/04 3:34:40 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Tengo nociones básicas,Cinta;Aloe vera,No,Decoración;Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:34:41 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Cinta;Espatifilo;Helecho de Boston;Filodendro;Costilla de Adán;Pilea;Cactus de Navidad;Violeta africana;Pothos;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Ficus benjamina;Aeonium;Echeveria;Agave;Hiedra inglesa;Philodendron;Lavanda;Petunia;Begonia;Caléndula,No,Decoración;Fue un regalo;La planté de cero;Me la recomendaron,Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 3:36:03 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",+10,Ambos por igual,Tengo nociones básicas,Fucsia,No,Decoración;Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Si,Fríos,Tengo bastante tiempo libre,Si,Realización,Años,Apartamento
2024/05/04 3:36:45 p. m. EEST,Hombre,Rumania,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Exterior,Tengo nociones básicas,Espatifilo,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Mejorar la calidad del aire;Me la recomendaron,Cuando me acuerdo,Le hecho agua,"No, prefiero que no tengan flores",Cálidos,No tengo tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/04 3:38:45 p. m. EEST,Mujer,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",0,Ambos por igual,Tengo nociones básicas,Pothos;Aloe vera;Planta de araña,"Sí, son tóxicas",Decoración,La verdad que no,Le hecho agua,"No, prefiero que no tengan flores",Fríos,Tengo bastante tiempo libre,Si,Indiferencia,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/04 3:40:39 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",+10,Exterior,Tengo nociones básicas,Cactus de jade;Haworthia;Echeveria,"Sí, intentan comérselas",Decoración;La planté de cero;Me la recomendaron,Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 3:41:30 p. m. EEST,Mujer,España,26 – 30,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Tengo nociones básicas,Cactus de Navidad;Orquídea phalaenopsis,"Sí, son tóxicas",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 3:41:54 p. m. EEST,Mujer,España,26 – 30,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",1,Interior,Tengo nociones básicas,Costilla de Adán,"Sí, son tóxicas",Decoración,Cuando me acuerdo,Le hecho agua,Si,Cálidos,Tengo algo de tiempo libre,Si,Indiferencia,Años,Apartamento
2024/05/04 3:42:51 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Exterior,Tengo nociones básicas,Peperomia;Pilea;Violeta africana,"Sí, pueden clavárselas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 3:42:52 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Interior,Tengo nociones básicas,Costilla de Adán;Aloe vera,No,Decoración,Cuando me acuerdo,Le hecho agua,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:44:13 p. m. EEST,Hombre,LATAM,18 – 25,Sí,"En una ciudad rodeadas de plantas, porque al rededor están las montañas ",2-5,Ambos por igual,Me he informado bastante,Philodendron,"Sí, intentan comérselas",La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 3:44:23 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",2-5,Interior,Tengo nociones básicas,Cactus de Navidad;Aloe vera;Lavanda,"Sí, tiran de las hojas y las tiran (o lo intentan)","Decoración;Perfumar el entorno;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Cuando me acuerdo,Me informo de qué le puede pasar,Si,Fríos,Tengo algo de tiempo libre,Si,Alegría,Meses,Adosado
2024/05/04 3:45:04 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Exterior,Tengo nociones básicas,Aloe vera;Echeveria;Planta de araña,"Sí, pueden clavárselas",Decoración,Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Fríos,Tengo algo de tiempo libre,Si,Indiferencia,Años,Chalet
2024/05/04 3:45:55 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo típico (por ejemplo: Barcelona, Valencia, Palma de Mallorca o Castellón de la Plana)",1,Interior,Tengo nociones básicas,Cinta;Espatifilo;Costilla de Adán;Begonia rex;Tradescantia;Cactus de Navidad;Violeta africana;Pothos;Orquídea phalaenopsis;Cactus de bola;Sedum;Kalanchoe;Croton;Lavanda;Salvia;Astilbe;Geranio;Petunia;Fucsia;Begonia,"Sí, intentan comérselas",Decoración;Perfumar el entorno,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo bastante tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 3:48:35 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Exterior,Tengo nociones básicas,Aeonium;Echeveria;Dieffenbachia;Caléndula,No,La planté de cero,Les hago bastante caso,Nunca se me ponen mustias,Me es indiferente,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:48:53 p. m. EEST,Hombre,España,26 – 30,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",2-5,Interior,Me he informado bastante,Cinta;Peperomia;Pothos;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Echeveria;Planta de araña;Nephthytis;Hosta,No,Decoración;Fue un regalo;La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,No,Alegría,Años,Apartamento
2024/05/04 3:49:35 p. m. EEST,Hombre,LATAM,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Exterior,Tengo nociones básicas,Espatifilo;Costilla de Adán;Violeta africana;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Haworthia;Agave;Lavanda;Petunia,"Sí, pueden clavárselas",Decoración;Fue un regalo;La planté de cero,Cuando me acuerdo,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
2024/05/04 3:50:02 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",6-10,Interior,Me he informado bastante,Crasula/ Suculenta de Jade;Ficus benjamina,No,La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 3:51:59 p. m. EEST,Hombre,España,26 – 30,No,"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",2-5,Interior,Tengo nociones básicas,Espatifilo;Cactus de Navidad;Violeta africana;Orquídea phalaenopsis;Kalanchoe;Lavanda;Geranio;Begonia,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Fue un regalo;Me la recomendaron,Les hago bastante caso,Me deshago de ella,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:56:43 p. m. EEST,Mujer,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",1,Interior,Tengo nociones básicas,Cinta,"Sí, tiran de las hojas y las tiran (o lo intentan)",Fue un regalo,La verdad que no,Le echo agua,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:57:27 p. m. EEST,Mujer,España,49 – 59,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Interior,Me he informado bastante,Filodendro;Costilla de Adán;Pothos;Cactus de jade;Crasula/ Suculenta de Jade;Aeonium;Planta de araña;Nephthytis;Croton;Geranio;Petunia;Begonia,No,Decoración;Fue un regalo;La planté de cero,Les hago bastante caso,Nunca se me ponen mustias,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Adosado
2024/05/04 3:58:18 p. m. EEST,Hombre,España,31 – 48,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Tengo nociones básicas,Costilla de Adán;Peperomia;Fittonia;Palo de Brasil;Pothos;Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Echeveria,No,Decoración,Cuando me acuerdo,Le echo agua,Me es indiferente,Fríos,Tengo bastante tiempo libre,Si,Indiferencia,Meses,Apartamento
2024/05/04 3:58:28 p. m. EEST,Hombre,LATAM,18 – 25,No,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",+10,Exterior,Tengo nociones básicas,Helecho de Boston;Costilla de Adán;Tradescantia;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Cactus de bola;Agave,No,Decoración;Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Me es indiferente,Tengo algo de tiempo libre,Si,Indiferencia,Años,Adosado
2024/05/04 3:58:40 p. m. EEST,Hombre,España,26 – 30,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",0,Ambos por igual,Tengo nociones básicas,Helecho de Boston;Tradescantia;Pilea;Palo de Brasil;Aloe vera;Cactus de bola;Lavanda,No,"Decoración;Por sus frutos/ especies aromáticas (tomillo, albahaca)",Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,Tengo bastante tiempo libre,Si,Realización,Años,Apartamento
2024/05/04 3:58:42 p. m. EEST,Hombre,LATAM,26 – 30,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",6-10,Ambos por igual,Me he informado bastante,"Cinta;Espatifilo;Helecho de Boston;Filodendro;Costilla de Adán;Palo de Brasil;Pothos;Aloe vera;Maranta Sapito, palma areca.",No,Decoración;Mejorar la calidad del aire;Perfumar el entorno;Para mi mascota;La planté de cero,Les hago bastante caso,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 3:59:33 p. m. EEST,Hombre,España,18 – 25,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",1,Interior,Tengo nociones básicas,Espatifilo;Helecho de Boston;Filodendro;Costilla de Adán;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Aeonium;Echeveria;Palmera de bambú;Geranio;Petunia;Fucsia;Begonia,No,Decoración,Cuando me acuerdo,Le echo agua,Me es indiferente,Cálidos,Tengo bastante tiempo libre,Si,Indiferencia,Meses,Apartamento
2024/05/04 3:59:53 p. m. EEST,Hombre,España,18 – 25,Sí,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",0,Exterior,Tengo nociones básicas,Filodendro;Peperomia;Aloe vera;Cactus de bola,"Sí, son tóxicas",Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,"No, prefiero que no tengan flores",Fríos,Tengo bastante tiempo libre,Si,Indiferencia,Las prefiero de plástico para que no se mueran,Apartamento
2024/05/04 4:00:32 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",6-10,Ambos por igual,Nada,Orquídea phalaenopsis;Crasula/ Suculenta de Jade;Aloe vera;Echeveria;Planta de araña;Philodendron;Croton;Begonia,No,Decoración,La verdad que no,Me informo de qué le puede pasar,Si,Cálidos,Tengo bastante tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 4:01:08 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Tengo nociones básicas,Cinta;Filodendro;Begonia rex;Cactus de Navidad;Ficus lyrata;Orquídea phalaenopsis;Lavanda;Hosta;Geranio,"Sí, son tóxicas",Decoración,Cuando me acuerdo,Le echo agua,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Meses,Apartamento
2024/05/04 4:02:00 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",2-5,Interior,Tengo nociones básicas,Cactus de Navidad;Palo de Brasil;Geranio;Petunia;Fucsia;Begonia,No,Decoración;Mejorar la calidad del aire,Les hago bastante caso,Me informo de qué le puede pasar,Si,Cálidos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 4:02:41 p. m. EEST,Mujer,LATAM,Menos de 18 años,No,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",2-5,Exterior,Tengo nociones básicas,Helecho de Boston;Filodendro;Pothos;Planta de serpiente/ Espada de San Jorge;Crasula/ Suculenta de Jade;Aloe vera,"Sí, pueden clavárselas",Decoración,Cuando me acuerdo,Me informo de qué le puede pasar,Si,Cálidos,Tengo mucho tiempo libre,Si,Alegría,Meses,Adosado
2024/05/04 4:05:16 p. m. EEST,Hombre,España,18 – 25,No,"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",6-10,Exterior,Tengo nociones básicas,Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Haworthia;Echeveria,"Sí, pueden clavárselas",Decoración;Fue un regalo,Cuando me acuerdo,Me informo de qué le puede pasar,Me es indiferente,Fríos,Tengo algo de tiempo libre,Si,Alegría,Años,Apartamento
2024/05/04 4:05:28 p. m. EEST,Hombre,LATAM,26 – 30,Sí,"Subtropical (por ejemplo: Santa Cruz de Tenerife, La Restinga o Las Palmas de Gran Canaria)",+10,Exterior,Tengo nociones básicas,Espatifilo;Helecho de Boston;Filodendro;Costilla de Adán;Fittonia;Pilea;Cactus de Navidad;Violeta africana;Orquídea phalaenopsis;Cactus de jade;Crasula/ Suculenta de Jade;Aloe vera;Cactus de bola;Echeveria;Kalanchoe;Palmera de bambú;Dracaena marginata;Lavanda;Salvia;Geranio;Petunia;Fucsia;Begonia;Caléndula,"Sí, tiran de las hojas y las tiran (o lo intentan)",Decoración;Fue un regalo,Les hago bastante caso,Me informo de qué le puede pasar,Si,Me es indiferente,Tengo algo de tiempo libre,Si,Alegría,Años,Chalet
